county,code,district,population,native_pop,asian_pop,black_pop,hispanic_pop,api_pop,multi_pop,white_pop,li_pop,se_pop,disciplined,native_d,asian_d,black_d,hispanic_d,api_d,multi_d,white_d,li_d,se_d
Grays Harbor,14066,Montesano ,1494,30,23,1,153,4,85,1197,666,239,34,,,,,,,26,22,12
Klickitat,20405,White Salmon Valley ,1463,11,14,6,488,1,36,907,797,295,23,,,,14,,0,8,18,
Thurston,34402,Tenino ,1426,15,3,17,94,3,30,1264,777,229,93,,,,,,,81,71,23
Chelan,04228,Cascade ,1413,12,10,8,419,3,18,943,735,162,22,,,,6,,,16,17,7
Yakima,39205,Zillah ,1410,53,6,3,693,1,36,618,845,171,22,,,,6,,0,12,18,8
Yakima,39203,Highland ,1345,7,5,6,915,,29,383,1046,170,41,,,,28,,,11,35,13
Jefferson,16049,Chimacum ,1331,21,22,10,90,3,79,1106,707,189,51,,,,,,,43,35,16
Okanogan,24404,Tonasket ,1248,12,4,8,467,,42,715,864,155,30,,,,11,,0,19,27,
Island,15204,Coupeville ,1202,8,12,22,146,,111,903,467,196,14,,,0,,,,8,10,
Stevens,33070,Valley ,1194,15,17,19,106,6,82,949,222,134,9,,,,,,0,7,8,
Yakima,39209,Mount Adams ,1190,643,,,407,,77,61,1129,189,236,164,,,53,,15,,234,36
Pend Oreille,26056,Newport ,1170,3,4,3,58,1,72,1029,772,215,38,,,,,,,35,30,10
Grant,13146,Warden ,1162,,4,2,919,1,15,220,903,161,20,,,,15,,,,18,6
San Juan,28137,Orcas Island ,1131,7,31,21,76,5,45,946,294,69,4,,0,0,,,0,,,
Klickitat,20404,Goldendale ,1128,67,10,9,143,3,79,817,700,190,125,10,,,20,,11,82,97,29
Pacific,25101,Ocean Beach ,1119,16,11,,188,,65,839,754,220,22,,,,0,,0,22,17,6
Skamania,30303,Stevenson-Carson ,1113,28,4,17,152,3,53,856,664,224,52,,,,7,,,40,45,10
Okanogan,24111,Brewster ,1088,11,,2,966,,13,96,1045,143,10,,,,10,,,0,10,
Benton,03053,Finley ,1057,6,3,4,415,1,46,582,800,189,59,,,,22,,,34,47,18
Cowlitz,08402,Kalama ,1053,7,8,17,55,3,25,938,493,137,11,,,,0,,,10,6,
Kittitas,19404,Cle Elum-Roslyn ,1039,14,11,7,91,3,38,875,499,140,28,,,,,,,22,19,8
Walla Walla,36400,Columbia (Walla Walla) ,1022,6,4,13,312,,35,652,583,159,23,,,,6,,,15,18,
Yakima,39120,Mabton ,1022,4,,,989,,2,27,1013,119,87,,,,85,,,,,19
Stevens,33212,Kettle Falls ,1021,23,9,7,59,5,37,881,601,142,43,0,,,,,,36,34,11
Pacific,25155,Naselle-Grays River Valley ,984,16,9,48,177,5,48,681,335,125,33,,,,7,,,15,17,15
Spokane,32358,Freeman ,951,24,17,9,50,3,12,836,272,140,1,0,,,0,,,,,
Douglas,09075,Bridgeport ,951,1,2,1,832,,9,106,934,118,15,,,,13,,,,15,
Stevens,33036,Chewelah ,941,7,3,7,45,1,14,864,616,128,34,,,,,,,30,26,7
Walla Walla,36250,College Place ,939,8,5,6,417,2,21,480,616,157,18,,,,,,,12,17,8
Thurston,34307,Rainier ,919,14,8,9,76,1,66,745,559,121,80,,,,7,,,65,52,14
San Juan,28149,San Juan Island ,903,5,14,5,139,1,42,697,431,121,14,,,,,,0,11,10,
Lewis,21014,Napavine ,893,11,7,7,104,,32,731,476,114,13,,,,,,,9,12,
Pacific,25116,Raymond ,861,27,46,8,156,9,19,596,529,116,13,,,,,,,9,12,
Lewis,21232,Winlock ,859,7,5,4,182,1,39,621,653,165,8,,,,,,0,7,6,
Lewis,21300,Onalaska ,856,11,3,3,98,,27,714,542,111,58,,,,9,,0,48,44,8
Mason,23402,Pioneer ,850,17,2,10,85,,47,689,609,204,19,,,,,,,14,15,
Grant,13301,Grand Coulee Dam ,831,316,3,4,80,2,169,257,556,145,64,32,,,,,12,14,58,16
Lewis,21237,Toledo ,820,12,7,6,85,3,44,663,468,175,14,,,,,,,12,10,
Spokane,32801,Educational Service District 101,814,126,7,75,73,3,2,528,642,17,0,0,,0,0,,,0,0,
Yakima,39002,Union Gap ,812,16,6,,626,,16,148,663,112,23,,,,16,,,6,23,
Grays Harbor,14064,North Beach ,801,103,12,21,58,1,52,554,636,158,58,11,,,,,,37,50,14
Jefferson,16048,Quilcene ,795,8,29,1,34,3,39,681,137,43,4,,0,,0,,,,,
Asotin,02420,Asotin-Anatone ,786,5,3,1,62,,44,671,284,91,8,,,,0,,,8,7,
Stevens,33049,Wellpinit ,781,468,1,27,72,3,53,157,513,70,15,9,,,,,,,15,
Chelan,04019,Manson ,756,10,6,8,512,,2,218,613,102,16,,,,13,,,,16,
Grays Harbor,14172,Ocosta ,755,34,6,2,148,,68,497,560,126,33,,,,6,,0,26,30,10
Skagit,29311,La Conner ,733,222,5,3,71,3,19,410,392,100,13,6,,,,,,,9,
Kittitas,19403,Kittitas ,730,2,7,5,157,,7,552,394,110,8,,,,,,,7,6,
Thurston,34801,Educational Service District 113,728,51,13,46,106,7,,505,,,0,0,,0,0,,,0,,
Lewis,21226,Adna ,720,3,5,4,40,,15,653,216,65,6,,,,,,,,,
Thurston,34324,Griffin ,710,19,18,14,48,1,56,554,160,92,7,,,,0,,,6,,6
Okanogan,24410,Oroville ,689,21,7,4,255,2,11,389,511,113,17,,,,,,,10,16,
Whitman,38300,Colfax ,689,1,9,2,26,,46,605,272,92,22,,,,0,,,20,16,10
Lincoln,22009,Reardan-Edwall ,685,32,2,6,25,,39,581,349,83,1,0,,,,,0,,,0
Pacific,25118,South Bend ,676,23,21,1,252,1,83,295,408,101,25,,,,9,,,11,17,11
Okanogan,24350,Methow Valley ,672,3,6,1,40,1,21,600,363,86,12,,,,0,,0,12,12,8
Skagit,29011,Concrete ,670,12,1,,40,,10,606,439,95,53,,,,,,,48,43,12
Cowlitz,08130,Toutle Lake ,668,15,12,8,53,,15,565,301,94,12,,,,0,,,11,12,
Lewis,21206,Mossyrock ,627,11,1,1,129,3,,482,409,112,22,,,,,,,19,16,
Lincoln,22207,Davenport ,623,14,2,4,21,,7,575,360,74,2,,,,,,,,,
Stevens,33207,Mary Walker ,620,65,4,6,35,5,44,461,569,95,35,,,,0,,,28,34,8
Grant,13156,Soap Lake ,583,1,1,5,175,1,5,395,559,81,0,,,,0,,,0,0,0
Skagit,29801,Northwest Educational Service District 189,574,24,10,21,131,3,33,350,6,11,0,0,,0,0,,0,0,,
Columbia,07002,Dayton ,537,15,8,16,70,,10,418,335,92,14,,,,,,,10,13,
Lewis,21303,White Pass ,513,7,2,3,29,,7,465,355,79,45,,,,,,,40,40,13
